Algorithm,Instance,Initial_Score,Score,Number_of_Evaluations,Number_of_Performed_Moves,Number_of_Best_Solution_Updates,Solution,Optimal_Score,Optimal_Solution
simulatedAnnealing,kra30a,133500,96630,16260,3474,0,8 12 11 13 0 10 21 17 15 16 2 24 25 5 18 19 27 9 7 6 20 22 26 4 1 3 29 23 28 14 	,88900,"26 24 23 16 20 19 6 10 11 2 22 18 7 30 15 21 25 29 12 9 5 17 1 8 13 28 14 3 4 27 
"
simulatedAnnealing,kra30a,138480,96650,16122,3354,0,17 13 26 14 25 1 7 29 24 4 19 18 23 28 27 15 12 8 3 16 10 6 5 2 21 0 9 22 11 20 	,88900,"26 24 23 16 20 19 6 10 11 2 22 18 7 30 15 21 25 29 12 9 5 17 1 8 13 28 14 3 4 27 
"
simulatedAnnealing,kra30a,139490,96700,16195,3803,0,9 28 23 27 21 20 22 26 3 5 2 17 24 14 18 8 19 7 12 6 0 11 10 16 15 4 13 25 1 29 	,88900,"26 24 23 16 20 19 6 10 11 2 22 18 7 30 15 21 25 29 12 9 5 17 1 8 13 28 14 3 4 27 
"
simulatedAnnealing,kra30a,133730,96810,16047,3353,0,5 2 26 13 4 25 17 19 3 1 24 29 14 23 8 15 0 11 12 16 10 21 7 6 20 22 27 9 28 18 	,88900,"26 24 23 16 20 19 6 10 11 2 22 18 7 30 15 21 25 29 12 9 5 17 1 8 13 28 14 3 4 27 
"
simulatedAnnealing,kra30a,137790,96840,16358,3890,0,9 22 28 21 5 3 23 11 2 14 26 18 27 29 8 6 19 20 0 15 1 7 10 16 4 17 13 12 25 24 	,88900,"26 24 23 16 20 19 6 10 11 2 22 18 7 30 15 21 25 29 12 9 5 17 1 8 13 28 14 3 4 27 
"
simulatedAnnealing,kra30a,140490,96870,16487,3737,0,12 6 8 20 19 4 7 28 10 15 16 18 11 0 9 27 13 26 22 21 1 14 23 5 2 3 24 29 25 17 	,88900,"26 24 23 16 20 19 6 10 11 2 22 18 7 30 15 21 25 29 12 9 5 17 1 8 13 28 14 3 4 27 
"
simulatedAnnealing,kra30a,134430,96920,16331,3215,0,22 28 18 21 3 9 23 2 5 27 24 14 25 29 11 7 20 26 4 1 6 19 10 16 12 17 0 15 8 13 	,88900,"26 24 23 16 20 19 6 10 11 2 22 18 7 30 15 21 25 29 12 9 5 17 1 8 13 28 14 3 4 27 
"
simulatedAnnealing,kra30a,132400,96940,16245,3378,0,23 5 22 2 0 15 11 3 1 16 10 14 4 21 28 24 26 18 20 25 17 13 19 6 8 12 29 7 9 27 	,88900,"26 24 23 16 20 19 6 10 11 2 22 18 7 30 15 21 25 29 12 9 5 17 1 8 13 28 14 3 4 27 
"
simulatedAnnealing,kra30a,129430,97000,15976,3422,0,14 24 17 20 3 21 26 22 5 2 9 28 23 18 29 1 25 13 6 4 10 12 7 16 15 11 19 0 8 27 	,88900,"26 24 23 16 20 19 6 10 11 2 22 18 7 30 15 21 25 29 12 9 5 17 1 8 13 28 14 3 4 27 
"
simulatedAnnealing,kra30a,137340,97130,16089,3284,0,23 9 27 24 22 7 11 25 4 1 21 29 14 3 18 28 19 8 13 20 6 12 17 5 15 0 26 2 16 10 	,88900,"26 24 23 16 20 19 6 10 11 2 22 18 7 30 15 21 25 29 12 9 5 17 1 8 13 28 14 3 4 27 
"
simulatedAnnealing,kra30a,135940,97300,18567,3080,0,27 14 18 12 10 5 11 16 15 2 24 13 17 25 9 19 20 28 8 0 21 22 6 1 3 23 26 7 4 29 	,88900,"26 24 23 16 20 19 6 10 11 2 22 18 7 30 15 21 25 29 12 9 5 17 1 8 13 28 14 3 4 27 
"
simulatedAnnealing,kra30a,133490,97320,16479,3771,0,9 27 29 13 12 10 21 26 17 0 25 24 8 11 18 22 3 14 20 6 15 4 28 7 16 1 23 19 5 2 	,88900,"26 24 23 16 20 19 6 10 11 2 22 18 7 30 15 21 25 29 12 9 5 17 1 8 13 28 14 3 4 27 
"
simulatedAnnealing,kra30a,132040,97400,16373,4042,0,12 13 26 9 27 17 28 19 2 25 18 29 24 23 8 11 21 22 6 10 1 20 0 15 4 5 7 16 3 14 	,88900,"26 24 23 16 20 19 6 10 11 2 22 18 7 30 15 21 25 29 12 9 5 17 1 8 13 28 14 3 4 27 
"
simulatedAnnealing,kra30a,123590,97500,16482,3959,0,9 24 29 13 14 25 23 17 3 2 28 26 21 22 27 6 8 19 12 16 1 7 10 15 0 20 11 4 5 18 	,88900,"26 24 23 16 20 19 6 10 11 2 22 18 7 30 15 21 25 29 12 9 5 17 1 8 13 28 14 3 4 27 
"
simulatedAnnealing,kra30a,138490,97540,16289,3674,0,8 12 27 10 0 11 9 15 16 21 13 5 2 14 7 19 28 18 4 6 20 22 1 3 23 17 29 25 24 26 	,88900,"26 24 23 16 20 19 6 10 11 2 22 18 7 30 15 21 25 29 12 9 5 17 1 8 13 28 14 3 4 27 
"
simulatedAnnealing,kra30a,135280,97570,16066,3424,0,18 13 29 27 14 2 25 9 12 10 17 26 11 21 28 20 23 24 22 3 4 5 19 6 1 16 8 7 0 15 	,88900,"26 24 23 16 20 19 6 10 11 2 22 18 7 30 15 21 25 29 12 9 5 17 1 8 13 28 14 3 4 27 
"
simulatedAnnealing,kra30a,127360,97780,16148,3542,0,11 17 26 8 16 15 25 12 10 2 29 27 9 13 7 21 5 24 0 4 1 14 19 6 3 23 22 20 28 18 	,88900,"26 24 23 16 20 19 6 10 11 2 22 18 7 30 15 21 25 29 12 9 5 17 1 8 13 28 14 3 4 27 
"
simulatedAnnealing,lipa80a,258119,255047,192110,26716,0,45 6 51 22 0 42 7 13 12 54 41 5 47 73 48 34 56 9 33 52 65 60 59 21 15 79 40 10 77 74 78 28 1 8 55 76 27 61 24 43 57 70 58 31 32 39 16 64 23 69 36 75 18 30 49 25 35 26 72 68 63 2 17 71 46 3 53 67 29 11 38 44 66 37 14 19 4 20 62 50 	,253195,"23 72 79 13 66 45 8 71 59 78 40 37 39 46 6 69 57 74 17 67 1 2 29 50 22 80 14 70 41 10 62 27 7 63 56 47 12 20 51 30 54 34 77 44 75 18 28 36 76 49 21 61 5 25 32 3 43 19 64 35 53 48 11 33 26 52 73 68 9 16 58 24 15 65 55 60 31 42 38 4 
"
simulatedAnnealing,lipa80a,258339,255087,118549,22667,0,18 33 50 45 72 44 23 9 12 16 39 43 77 1 41 28 66 32 13 0 61 60 70 25 8 47 40 68 4 17 59 53 54 29 46 48 76 51 11 31 14 79 19 37 56 63 64 42 62 57 5 20 65 21 52 74 15 75 10 73 78 55 3 27 58 30 38 2 69 34 49 67 36 26 71 6 7 35 24 22 	,253195,"23 72 79 13 66 45 8 71 59 78 40 37 39 46 6 69 57 74 17 67 1 2 29 50 22 80 14 70 41 10 62 27 7 63 56 47 12 20 51 30 54 34 77 44 75 18 28 36 76 49 21 61 5 25 32 3 43 19 64 35 53 48 11 33 26 52 73 68 9 16 58 24 15 65 55 60 31 42 38 4 
"
simulatedAnnealing,lipa80a,258644,255113,159874,25613,0,58 79 43 27 37 25 15 38 46 68 41 29 71 44 10 42 19 49 12 22 77 17 48 26 45 14 18 64 51 9 39 66 74 72 70 0 63 4 13 32 57 52 23 60 1 59 78 35 40 28 76 7 61 56 62 50 65 16 54 6 3 69 53 47 75 24 20 5 34 33 2 31 8 67 73 30 21 11 55 36 	,253195,"23 72 79 13 66 45 8 71 59 78 40 37 39 46 6 69 57 74 17 67 1 2 29 50 22 80 14 70 41 10 62 27 7 63 56 47 12 20 51 30 54 34 77 44 75 18 28 36 76 49 21 61 5 25 32 3 43 19 64 35 53 48 11 33 26 52 73 68 9 16 58 24 15 65 55 60 31 42 38 4 
"
simulatedAnnealing,lipa80a,258818,255118,155735,28700,0,53 6 38 72 13 24 26 40 69 44 54 43 78 5 15 21 55 9 76 60 59 28 16 0 35 73 68 42 1 64 20 50 62 48 4 12 7 30 31 41 47 2 46 29 39 45 65 77 11 37 14 70 56 71 3 66 63 61 51 79 34 18 58 23 10 75 17 25 52 27 32 36 74 49 22 8 57 19 33 67 	,253195,"23 72 79 13 66 45 8 71 59 78 40 37 39 46 6 69 57 74 17 67 1 2 29 50 22 80 14 70 41 10 62 27 7 63 56 47 12 20 51 30 54 34 77 44 75 18 28 36 76 49 21 61 5 25 32 3 43 19 64 35 53 48 11 33 26 52 73 68 9 16 58 24 15 65 55 60 31 42 38 4 
"
simulatedAnnealing,lipa80a,258449,255128,92423,28257,0,79 38 28 59 4 10 42 12 77 58 52 22 19 1 9 64 43 50 31 29 15 5 72 23 48 37 36 6 17 45 70 32 55 2 20 74 69 49 21 26 67 3 66 41 35 8 63 39 73 44 71 14 51 7 34 0 78 54 61 62 18 46 68 11 16 75 65 47 24 33 40 13 56 30 57 60 27 25 76 53 	,253195,"23 72 79 13 66 45 8 71 59 78 40 37 39 46 6 69 57 74 17 67 1 2 29 50 22 80 14 70 41 10 62 27 7 63 56 47 12 20 51 30 54 34 77 44 75 18 28 36 76 49 21 61 5 25 32 3 43 19 64 35 53 48 11 33 26 52 73 68 9 16 58 24 15 65 55 60 31 42 38 4 
"
simulatedAnnealing,lipa80a,258535,255128,159543,26851,0,12 73 75 76 11 41 67 2 4 37 48 28 46 21 60 1 59 47 35 39 64 66 44 29 15 65 58 18 14 74 54 32 33 8 3 38 68 5 53 6 19 40 57 16 13 7 61 34 26 49 9 43 72 63 50 62 25 55 23 30 52 71 22 36 0 77 24 42 51 78 27 17 56 20 45 70 10 69 31 79 	,253195,"23 72 79 13 66 45 8 71 59 78 40 37 39 46 6 69 57 74 17 67 1 2 29 50 22 80 14 70 41 10 62 27 7 63 56 47 12 20 51 30 54 34 77 44 75 18 28 36 76 49 21 61 5 25 32 3 43 19 64 35 53 48 11 33 26 52 73 68 9 16 58 24 15 65 55 60 31 42 38 4 
"
simulatedAnnealing,lipa80a,258767,255134,171660,23865,0,67 66 11 60 16 10 69 5 72 31 43 28 29 53 54 75 51 25 26 39 7 0 49 63 65 62 14 18 78 9 27 61 30 59 37 79 1 38 76 74 40 12 68 2 50 36 48 55 15 4 33 71 47 56 6 70 44 42 64 58 20 41 35 57 32 52 73 3 46 13 77 24 45 21 23 19 34 22 17 8 	,253195,"23 72 79 13 66 45 8 71 59 78 40 37 39 46 6 69 57 74 17 67 1 2 29 50 22 80 14 70 41 10 62 27 7 63 56 47 12 20 51 30 54 34 77 44 75 18 28 36 76 49 21 61 5 25 32 3 43 19 64 35 53 48 11 33 26 52 73 68 9 16 58 24 15 65 55 60 31 42 38 4 
"
simulatedAnnealing,lipa80a,258258,255134,102100,25825,0,56 78 1 68 34 30 40 73 15 55 11 51 49 5 48 69 77 21 19 72 4 41 59 6 74 10 58 17 25 66 3 70 13 29 54 39 27 9 53 57 38 75 43 20 64 71 65 50 61 8 24 46 47 28 26 35 33 44 37 76 16 0 22 45 52 2 31 60 36 23 32 62 79 7 67 63 12 42 18 14 	,253195,"23 72 79 13 66 45 8 71 59 78 40 37 39 46 6 69 57 74 17 67 1 2 29 50 22 80 14 70 41 10 62 27 7 63 56 47 12 20 51 30 54 34 77 44 75 18 28 36 76 49 21 61 5 25 32 3 43 19 64 35 53 48 11 33 26 52 73 68 9 16 58 24 15 65 55 60 31 42 38 4 
"
simulatedAnnealing,lipa80a,258543,255139,100888,29226,0,68 21 69 62 2 58 45 31 22 8 71 16 43 76 20 66 27 6 32 28 50 60 39 53 48 12 59 4 51 64 37 52 49 0 73 74 65 34 47 57 11 79 67 36 33 15 29 72 42 40 44 14 9 77 26 35 19 55 10 5 13 25 70 23 46 54 3 56 61 17 38 41 24 18 78 1 7 75 63 30 	,253195,"23 72 79 13 66 45 8 71 59 78 40 37 39 46 6 69 57 74 17 67 1 2 29 50 22 80 14 70 41 10 62 27 7 63 56 47 12 20 51 30 54 34 77 44 75 18 28 36 76 49 21 61 5 25 32 3 43 19 64 35 53 48 11 33 26 52 73 68 9 16 58 24 15 65 55 60 31 42 38 4 
"
simulatedAnnealing,lipa80a,258920,255141,184030,27791,0,12 64 21 17 72 32 36 3 62 22 5 47 73 23 53 52 59 61 27 25 2 46 43 55 18 48 45 34 24 51 14 26 77 54 29 42 76 33 63 41 44 38 13 58 75 49 15 56 0 40 71 69 74 20 60 65 79 1 70 68 9 57 16 4 28 31 6 39 67 66 19 30 11 10 7 8 78 50 37 35 	,253195,"23 72 79 13 66 45 8 71 59 78 40 37 39 46 6 69 57 74 17 67 1 2 29 50 22 80 14 70 41 10 62 27 7 63 56 47 12 20 51 30 54 34 77 44 75 18 28 36 76 49 21 61 5 25 32 3 43 19 64 35 53 48 11 33 26 52 73 68 9 16 58 24 15 65 55 60 31 42 38 4 
"
simulatedAnnealing,lipa80a,258373,255142,134036,23718,0,68 12 36 7 79 35 17 4 2 38 14 70 65 5 51 22 1 60 6 11 9 31 33 8 44 21 67 3 75 27 74 18 23 61 64 13 77 47 48 59 10 71 34 29 55 49 28 24 76 53 40 63 32 73 78 15 16 41 46 42 62 19 43 56 57 26 20 54 25 50 45 66 39 72 58 37 0 69 30 52 	,253195,"23 72 79 13 66 45 8 71 59 78 40 37 39 46 6 69 57 74 17 67 1 2 29 50 22 80 14 70 41 10 62 27 7 63 56 47 12 20 51 30 54 34 77 44 75 18 28 36 76 49 21 61 5 25 32 3 43 19 64 35 53 48 11 33 26 52 73 68 9 16 58 24 15 65 55 60 31 42 38 4 
"
simulatedAnnealing,lipa80a,258606,255148,130590,20951,0,69 34 24 13 52 71 17 59 49 66 39 9 46 33 43 5 57 21 68 45 63 26 36 53 20 41 31 22 18 11 74 67 73 40 16 27 35 14 29 6 61 55 48 1 70 38 7 8 72 77 60 79 58 28 44 19 54 30 25 75 32 23 4 78 42 62 56 2 64 3 51 0 50 47 76 10 65 37 15 12 	,253195,"23 72 79 13 66 45 8 71 59 78 40 37 39 46 6 69 57 74 17 67 1 2 29 50 22 80 14 70 41 10 62 27 7 63 56 47 12 20 51 30 54 34 77 44 75 18 28 36 76 49 21 61 5 25 32 3 43 19 64 35 53 48 11 33 26 52 73 68 9 16 58 24 15 65 55 60 31 42 38 4 
"
simulatedAnnealing,lipa80a,258666,255173,143463,23780,0,79 16 13 62 41 21 8 64 58 35 26 12 34 71 61 51 37 69 3 20 19 29 57 4 73 42 66 43 14 78 49 50 39 76 24 25 68 27 52 28 33 18 74 36 15 10 63 60 56 32 46 72 75 1 67 11 45 2 70 53 23 9 22 30 31 55 5 44 0 6 59 47 77 40 38 7 17 48 65 54 	,253195,"23 72 79 13 66 45 8 71 59 78 40 37 39 46 6 69 57 74 17 67 1 2 29 50 22 80 14 70 41 10 62 27 7 63 56 47 12 20 51 30 54 34 77 44 75 18 28 36 76 49 21 61 5 25 32 3 43 19 64 35 53 48 11 33 26 52 73 68 9 16 58 24 15 65 55 60 31 42 38 4 
"
simulatedAnnealing,lipa80a,258574,255184,134823,34056,0,68 33 45 20 7 46 65 40 49 50 69 23 64 66 26 79 57 34 5 9 36 71 61 25 63 41 67 37 73 77 52 14 12 11 22 78 4 44 0 43 53 21 76 19 70 18 27 17 38 31 24 8 60 1 10 29 3 35 15 13 2 72 30 75 55 47 54 74 62 42 58 59 39 32 48 51 16 6 56 28 	,253195,"23 72 79 13 66 45 8 71 59 78 40 37 39 46 6 69 57 74 17 67 1 2 29 50 22 80 14 70 41 10 62 27 7 63 56 47 12 20 51 30 54 34 77 44 75 18 28 36 76 49 21 61 5 25 32 3 43 19 64 35 53 48 11 33 26 52 73 68 9 16 58 24 15 65 55 60 31 42 38 4 
"
simulatedAnnealing,lipa80a,258439,255187,155364,23534,0,45 17 49 77 11 34 54 16 18 66 64 59 38 1 51 41 44 14 7 36 19 13 25 24 40 20 0 58 69 74 62 26 31 50 57 60 21 4 61 39 30 75 72 70 42 32 65 48 37 55 71 9 63 78 33 73 28 29 10 52 35 2 27 47 22 5 56 46 3 15 6 68 8 67 76 23 43 12 79 53 	,253195,"23 72 79 13 66 45 8 71 59 78 40 37 39 46 6 69 57 74 17 67 1 2 29 50 22 80 14 70 41 10 62 27 7 63 56 47 12 20 51 30 54 34 77 44 75 18 28 36 76 49 21 61 5 25 32 3 43 19 64 35 53 48 11 33 26 52 73 68 9 16 58 24 15 65 55 60 31 42 38 4 
"
simulatedAnnealing,lipa80a,258520,255187,194167,27844,0,33 13 52 49 32 20 45 4 16 21 74 65 6 71 73 66 50 0 53 63 11 31 44 61 55 72 12 39 1 15 54 60 40 29 14 25 51 69 78 79 35 70 3 75 18 64 7 67 62 68 42 46 41 36 28 9 56 22 17 48 2 23 5 47 24 76 10 58 26 30 8 27 77 34 38 59 37 19 57 43 	,253195,"23 72 79 13 66 45 8 71 59 78 40 37 39 46 6 69 57 74 17 67 1 2 29 50 22 80 14 70 41 10 62 27 7 63 56 47 12 20 51 30 54 34 77 44 75 18 28 36 76 49 21 61 5 25 32 3 43 19 64 35 53 48 11 33 26 52 73 68 9 16 58 24 15 65 55 60 31 42 38 4 
"
simulatedAnnealing,lipa80a,258383,255194,151769,24132,0,11 71 24 34 78 28 35 76 13 44 55 68 59 42 1 3 16 15 69 47 12 46 54 77 10 75 57 20 27 67 61 63 73 36 0 79 48 31 33 53 74 29 37 22 32 45 26 21 7 70 4 50 39 41 58 17 25 40 51 6 5 30 72 60 66 23 14 62 65 2 9 52 49 56 64 19 8 38 18 43 	,253195,"23 72 79 13 66 45 8 71 59 78 40 37 39 46 6 69 57 74 17 67 1 2 29 50 22 80 14 70 41 10 62 27 7 63 56 47 12 20 51 30 54 34 77 44 75 18 28 36 76 49 21 61 5 25 32 3 43 19 64 35 53 48 11 33 26 52 73 68 9 16 58 24 15 65 55 60 31 42 38 4 
"
simulatedAnnealing,lipa80a,258710,255196,181609,28428,0,8 30 43 78 73 23 51 17 53 58 52 2 3 34 38 55 69 22 76 12 9 37 33 77 18 27 44 65 10 21 70 79 47 71 35 5 74 20 57 63 72 1 67 29 14 0 26 64 36 66 19 59 56 32 13 42 11 60 48 31 24 4 40 39 68 41 62 15 54 46 50 7 6 75 45 49 28 25 16 61 	,253195,"23 72 79 13 66 45 8 71 59 78 40 37 39 46 6 69 57 74 17 67 1 2 29 50 22 80 14 70 41 10 62 27 7 63 56 47 12 20 51 30 54 34 77 44 75 18 28 36 76 49 21 61 5 25 32 3 43 19 64 35 53 48 11 33 26 52 73 68 9 16 58 24 15 65 55 60 31 42 38 4 
"
simulatedAnnealing,lipa80a,258651,255205,122716,27198,0,9 39 70 29 64 75 7 3 63 23 30 31 42 73 15 27 40 74 16 78 1 58 53 4 35 6 79 22 34 72 43 36 21 33 59 32 37 51 47 20 28 2 26 25 17 13 61 50 54 67 41 14 65 69 45 19 38 44 55 0 56 66 68 52 46 60 76 24 77 8 11 62 10 71 5 18 57 49 12 48 	,253195,"23 72 79 13 66 45 8 71 59 78 40 37 39 46 6 69 57 74 17 67 1 2 29 50 22 80 14 70 41 10 62 27 7 63 56 47 12 20 51 30 54 34 77 44 75 18 28 36 76 49 21 61 5 25 32 3 43 19 64 35 53 48 11 33 26 52 73 68 9 16 58 24 15 65 55 60 31 42 38 4 
"
simulatedAnnealing,lipa80a,258400,255208,123794,26152,0,65 55 14 42 56 69 79 64 66 70 72 16 22 38 35 50 6 37 71 77 24 54 12 5 61 7 39 41 45 57 58 59 3 75 11 73 40 34 1 46 19 27 76 63 48 23 52 0 62 43 67 33 18 2 28 8 68 9 49 29 17 53 30 26 20 78 15 31 21 47 4 60 32 51 10 13 44 25 74 36 	,253195,"23 72 79 13 66 45 8 71 59 78 40 37 39 46 6 69 57 74 17 67 1 2 29 50 22 80 14 70 41 10 62 27 7 63 56 47 12 20 51 30 54 34 77 44 75 18 28 36 76 49 21 61 5 25 32 3 43 19 64 35 53 48 11 33 26 52 73 68 9 16 58 24 15 65 55 60 31 42 38 4 
"
simulatedAnnealing,lipa80a,258496,255212,152881,25182,0,67 57 11 77 22 39 64 46 79 1 31 2 38 23 9 24 73 66 63 8 0 75 28 78 20 48 30 6 65 55 19 26 32 54 61 40 71 49 74 35 42 72 29 47 7 52 45 4 10 33 69 58 50 13 44 21 43 15 34 37 36 12 41 51 5 59 17 3 53 60 25 68 18 70 14 62 27 16 76 56 	,253195,"23 72 79 13 66 45 8 71 59 78 40 37 39 46 6 69 57 74 17 67 1 2 29 50 22 80 14 70 41 10 62 27 7 63 56 47 12 20 51 30 54 34 77 44 75 18 28 36 76 49 21 61 5 25 32 3 43 19 64 35 53 48 11 33 26 52 73 68 9 16 58 24 15 65 55 60 31 42 38 4 
"
simulatedAnnealing,lipa80a,258373,255221,135870,27957,0,33 1 75 2 64 42 74 20 47 13 65 61 58 19 62 31 18 49 26 56 54 63 12 60 37 38 0 51 77 59 21 6 43 78 48 16 15 27 9 7 67 71 53 52 22 70 69 25 24 35 46 5 39 73 8 4 3 36 57 68 55 11 40 17 44 29 30 79 72 76 34 45 14 23 32 28 10 41 50 66 	,253195,"23 72 79 13 66 45 8 71 59 78 40 37 39 46 6 69 57 74 17 67 1 2 29 50 22 80 14 70 41 10 62 27 7 63 56 47 12 20 51 30 54 34 77 44 75 18 28 36 76 49 21 61 5 25 32 3 43 19 64 35 53 48 11 33 26 52 73 68 9 16 58 24 15 65 55 60 31 42 38 4 
"
simulatedAnnealing,lipa80a,258558,255223,104512,24451,0,76 7 40 54 12 64 35 18 71 34 1 14 77 60 22 5 41 6 10 72 66 44 32 17 37 78 38 28 3 8 39 51 79 46 73 59 61 19 33 9 25 0 52 30 36 67 20 48 63 24 26 45 31 75 56 58 11 15 62 53 43 47 55 23 65 42 16 21 70 2 69 13 4 50 29 68 57 27 49 74 	,253195,"23 72 79 13 66 45 8 71 59 78 40 37 39 46 6 69 57 74 17 67 1 2 29 50 22 80 14 70 41 10 62 27 7 63 56 47 12 20 51 30 54 34 77 44 75 18 28 36 76 49 21 61 5 25 32 3 43 19 64 35 53 48 11 33 26 52 73 68 9 16 58 24 15 65 55 60 31 42 38 4 
"
simulatedAnnealing,lipa80a,258531,255224,134111,26284,0,44 8 39 59 70 10 16 55 78 28 11 61 29 37 24 49 18 69 67 45 30 32 38 73 65 42 20 46 62 31 35 68 60 15 7 74 23 72 43 76 25 41 14 5 64 75 77 22 58 47 21 33 66 57 56 4 52 79 40 48 6 53 51 19 63 2 27 71 50 54 3 13 34 12 9 26 17 1 0 36 	,253195,"23 72 79 13 66 45 8 71 59 78 40 37 39 46 6 69 57 74 17 67 1 2 29 50 22 80 14 70 41 10 62 27 7 63 56 47 12 20 51 30 54 34 77 44 75 18 28 36 76 49 21 61 5 25 32 3 43 19 64 35 53 48 11 33 26 52 73 68 9 16 58 24 15 65 55 60 31 42 38 4 
"
simulatedAnnealing,lipa80a,258287,255224,182302,25466,0,11 40 0 69 67 25 57 42 55 68 37 78 64 32 31 54 3 66 52 50 22 65 36 20 34 10 39 28 24 21 18 14 48 75 61 63 15 53 71 60 30 74 26 46 12 17 27 56 35 58 7 72 45 44 33 47 59 6 79 23 62 19 16 76 73 4 38 8 51 77 9 29 49 2 43 41 5 1 70 13 	,253195,"23 72 79 13 66 45 8 71 59 78 40 37 39 46 6 69 57 74 17 67 1 2 29 50 22 80 14 70 41 10 62 27 7 63 56 47 12 20 51 30 54 34 77 44 75 18 28 36 76 49 21 61 5 25 32 3 43 19 64 35 53 48 11 33 26 52 73 68 9 16 58 24 15 65 55 60 31 42 38 4 
"
simulatedAnnealing,lipa80a,258550,255225,105377,24675,0,64 49 37 60 79 45 22 75 18 74 24 17 8 40 42 16 62 68 69 54 50 28 72 63 36 51 32 25 78 10 48 43 26 61 15 39 70 30 5 71 59 13 53 6 67 3 52 20 29 44 35 77 41 34 12 9 56 1 7 57 11 0 76 33 38 46 58 21 47 31 55 27 14 4 73 23 19 2 66 65 	,253195,"23 72 79 13 66 45 8 71 59 78 40 37 39 46 6 69 57 74 17 67 1 2 29 50 22 80 14 70 41 10 62 27 7 63 56 47 12 20 51 30 54 34 77 44 75 18 28 36 76 49 21 61 5 25 32 3 43 19 64 35 53 48 11 33 26 52 73 68 9 16 58 24 15 65 55 60 31 42 38 4 
"
simulatedAnnealing,lipa80a,258195,255225,119708,25422,0,15 69 73 65 38 21 74 14 30 54 36 40 41 66 2 48 4 55 6 71 9 50 13 33 51 79 62 60 17 7 78 58 26 43 12 18 34 10 47 57 42 39 5 46 32 44 67 31 52 53 77 20 70 25 37 64 45 56 23 19 49 63 29 0 11 8 22 16 35 3 24 76 1 72 28 68 61 75 27 59 	,253195,"23 72 79 13 66 45 8 71 59 78 40 37 39 46 6 69 57 74 17 67 1 2 29 50 22 80 14 70 41 10 62 27 7 63 56 47 12 20 51 30 54 34 77 44 75 18 28 36 76 49 21 61 5 25 32 3 43 19 64 35 53 48 11 33 26 52 73 68 9 16 58 24 15 65 55 60 31 42 38 4 
"
simulatedAnnealing,lipa80a,258695,255226,116211,27244,0,57 5 56 20 15 17 47 9 65 34 10 52 12 28 11 40 76 6 25 71 23 60 30 55 50 66 72 64 33 70 4 46 3 8 73 22 27 24 53 45 61 51 59 37 32 41 54 79 14 69 48 63 18 19 29 13 49 35 7 77 74 0 67 16 21 1 36 31 78 2 75 68 43 38 44 39 62 58 42 26 	,253195,"23 72 79 13 66 45 8 71 59 78 40 37 39 46 6 69 57 74 17 67 1 2 29 50 22 80 14 70 41 10 62 27 7 63 56 47 12 20 51 30 54 34 77 44 75 18 28 36 76 49 21 61 5 25 32 3 43 19 64 35 53 48 11 33 26 52 73 68 9 16 58 24 15 65 55 60 31 42 38 4 
"
simulatedAnnealing,lipa80a,258482,255232,157537,28456,0,76 60 11 30 32 56 13 45 0 64 58 3 12 5 28 75 26 63 9 44 48 47 52 69 35 77 78 25 17 39 14 16 46 68 54 15 55 27 33 29 19 53 79 67 49 62 72 61 42 40 65 73 22 1 23 38 57 8 4 2 41 50 21 71 74 7 59 70 51 34 24 43 18 6 66 10 36 37 31 20 	,253195,"23 72 79 13 66 45 8 71 59 78 40 37 39 46 6 69 57 74 17 67 1 2 29 50 22 80 14 70 41 10 62 27 7 63 56 47 12 20 51 30 54 34 77 44 75 18 28 36 76 49 21 61 5 25 32 3 43 19 64 35 53 48 11 33 26 52 73 68 9 16 58 24 15 65 55 60 31 42 38 4 
"
simulatedAnnealing,lipa80a,258347,255236,167864,27712,0,44 58 11 45 19 2 64 51 28 72 77 38 12 50 1 17 31 76 20 54 66 49 53 5 8 41 63 40 70 15 43 56 71 14 48 34 46 47 78 52 25 68 37 7 39 18 9 42 33 22 57 0 21 30 4 27 35 75 10 16 79 59 32 13 6 67 61 74 3 36 55 26 69 73 24 60 29 23 65 62 	,253195,"23 72 79 13 66 45 8 71 59 78 40 37 39 46 6 69 57 74 17 67 1 2 29 50 22 80 14 70 41 10 62 27 7 63 56 47 12 20 51 30 54 34 77 44 75 18 28 36 76 49 21 61 5 25 32 3 43 19 64 35 53 48 11 33 26 52 73 68 9 16 58 24 15 65 55 60 31 42 38 4 
"
simulatedAnnealing,lipa80a,258522,255237,91389,22663,0,43 39 78 20 49 74 40 18 66 15 32 0 52 28 59 70 19 45 4 60 67 50 77 55 54 6 21 56 44 53 1 76 8 13 27 79 37 51 14 10 9 26 41 31 62 36 64 35 71 29 12 11 69 61 75 23 17 3 63 48 46 25 7 5 22 58 65 57 47 16 73 42 72 2 33 68 34 38 24 30 	,253195,"23 72 79 13 66 45 8 71 59 78 40 37 39 46 6 69 57 74 17 67 1 2 29 50 22 80 14 70 41 10 62 27 7 63 56 47 12 20 51 30 54 34 77 44 75 18 28 36 76 49 21 61 5 25 32 3 43 19 64 35 53 48 11 33 26 52 73 68 9 16 58 24 15 65 55 60 31 42 38 4 
"
