Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5843473	Score: 5516998	Number of Evaluations: 22239	Number of Performed Moves: 3939	Number of Best Solution Updates: 0	Solution: 	15 3 23 7 10 25 21 2 22 11 8 19 4 14 1 5 13 0 18 16 9 24 20 12 6 17 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5781354	Score: 5505975	Number of Evaluations: 27594	Number of Performed Moves: 3894	Number of Best Solution Updates: 0	Solution: 	6 10 3 12 15 2 16 14 0 20 7 18 11 17 25 24 13 8 4 21 5 23 9 22 1 19 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5744494	Score: 5454939	Number of Evaluations: 29337	Number of Performed Moves: 2855	Number of Best Solution Updates: 0	Solution: 	10 2 11 1 13 24 23 7 6 25 18 19 17 3 5 14 4 20 8 12 21 22 15 16 0 9 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 6185521	Score: 5493023	Number of Evaluations: 25045	Number of Performed Moves: 4131	Number of Best Solution Updates: 0	Solution: 	25 7 15 10 22 23 2 1 12 3 0 8 4 13 18 6 20 19 17 24 9 16 5 21 11 14 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5960858	Score: 5434704	Number of Evaluations: 27479	Number of Performed Moves: 3490	Number of Best Solution Updates: 0	Solution: 	14 6 25 10 3 23 21 1 5 11 4 8 0 20 7 12 2 19 18 16 9 24 15 22 17 13 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5942552	Score: 5451921	Number of Evaluations: 29240	Number of Performed Moves: 3012	Number of Best Solution Updates: 0	Solution: 	11 5 22 10 17 24 2 15 14 0 13 8 19 18 7 1 6 20 4 12 9 21 23 16 25 3 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5838299	Score: 5469774	Number of Evaluations: 27931	Number of Performed Moves: 3922	Number of Best Solution Updates: 0	Solution: 	1 14 10 5 7 2 22 20 3 6 13 0 8 18 15 11 17 4 19 24 16 9 21 25 12 23 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5983354	Score: 5450929	Number of Evaluations: 28323	Number of Performed Moves: 3943	Number of Best Solution Updates: 0	Solution: 	14 1 21 2 25 6 10 5 12 11 20 13 17 4 0 7 18 8 19 23 15 9 16 24 22 3 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5851484	Score: 5452665	Number of Evaluations: 27506	Number of Performed Moves: 3661	Number of Best Solution Updates: 0	Solution: 	1 10 13 12 7 2 24 3 0 25 19 18 17 11 5 14 8 20 4 21 22 23 16 9 6 15 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5854997	Score: 5451856	Number of Evaluations: 28806	Number of Performed Moves: 3768	Number of Best Solution Updates: 0	Solution: 	0 14 5 3 10 1 21 12 13 17 4 8 20 6 7 11 18 19 2 24 16 23 9 25 22 15 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
Algorithm: rsimulatedAnnealing	Instance: bur26a	Initial Score: 5881123	Score: 5451901	Number of Evaluations: 26766	Number of Performed Moves: 3251	Number of Best Solution Updates: 0	Solution: 	15 5 7 12 22 2 16 0 3 25 19 18 6 17 11 14 8 4 20 21 9 23 10 13 24 1 	Optimal Score: 5426670	Optimal Solution: 	11 15 26 7 4 13 12 2 6 18 9 5 1 21 8 14 3 20 19 10 17 25 16 24 22 23 
